"Step","e75-30-baseline-20250607_004142 - val_f1","e75-30-baseline-20250607_004142 - val_f1__MIN","e75-30-baseline-20250607_004142 - val_f1__MAX","e75-28-baseline-20250607_003733 - val_f1","e75-28-baseline-20250607_003733 - val_f1__MIN","e75-28-baseline-20250607_003733 - val_f1__MAX","e75-29-baseline-20250607_003732 - val_f1","e75-29-baseline-20250607_003732 - val_f1__MIN","e75-29-baseline-20250607_003732 - val_f1__MAX","e75-26-baseline-20250607_002723 - val_f1","e75-26-baseline-20250607_002723 - val_f1__MIN","e75-26-baseline-20250607_002723 - val_f1__MAX","e75-27-baseline-20250607_002722 - val_f1","e75-27-baseline-20250607_002722 - val_f1__MIN","e75-27-baseline-20250607_002722 - val_f1__MAX","e75-25-baseline-20250607_002321 - val_f1","e75-25-baseline-20250607_002321 - val_f1__MIN","e75-25-baseline-20250607_002321 - val_f1__MAX","e75-24-baseline-20250607_001720 - val_f1","e75-24-baseline-20250607_001720 - val_f1__MIN","e75-24-baseline-20250607_001720 - val_f1__MAX","e75-23-baseline-20250607_001020 - val_f1","e75-23-baseline-20250607_001020 - val_f1__MIN","e75-23-baseline-20250607_001020 - val_f1__MAX","e75-22-baseline-20250606_234659 - val_f1","e75-22-baseline-20250606_234659 - val_f1__MIN","e75-22-baseline-20250606_234659 - val_f1__MAX","e75-21-baseline-20250606_233443 - val_f1","e75-21-baseline-20250606_233443 - val_f1__MIN","e75-21-baseline-20250606_233443 - val_f1__MAX","e75-20-baseline-20250606_233246 - val_f1","e75-20-baseline-20250606_233246 - val_f1__MIN","e75-20-baseline-20250606_233246 - val_f1__MAX","e75-19-baseline-20250606_233237 - val_f1","e75-19-baseline-20250606_233237 - val_f1__MIN","e75-19-baseline-20250606_233237 - val_f1__MAX","e75-18-baseline-20250606_232845 - val_f1","e75-18-baseline-20250606_232845 - val_f1__MIN","e75-18-baseline-20250606_232845 - val_f1__MAX","e75-17-baseline-20250606_232448 - val_f1","e75-17-baseline-20250606_232448 - val_f1__MIN","e75-17-baseline-20250606_232448 - val_f1__MAX","e75-16-baseline-20250606_224845 - val_f1","e75-16-baseline-20250606_224845 - val_f1__MIN","e75-16-baseline-20250606_224845 - val_f1__MAX","e75-15-baseline-20250606_224255 - val_f1","e75-15-baseline-20250606_224255 - val_f1__MIN","e75-15-baseline-20250606_224255 - val_f1__MAX","e75-14-baseline-20250606_223806 - val_f1","e75-14-baseline-20250606_223806 - val_f1__MIN","e75-14-baseline-20250606_223806 - val_f1__MAX","e75-13-baseline-20250606_223602 - val_f1","e75-13-baseline-20250606_223602 - val_f1__MIN","e75-13-baseline-20250606_223602 - val_f1__MAX","e75-12-baseline-20250606_221958 - val_f1","e75-12-baseline-20250606_221958 - val_f1__MIN","e75-12-baseline-20250606_221958 - val_f1__MAX","e75-11-baseline-20250606_221957 - val_f1","e75-11-baseline-20250606_221957 - val_f1__MIN","e75-11-baseline-20250606_221957 - val_f1__MAX","e75-10-baseline-20250606_221227 - val_f1","e75-10-baseline-20250606_221227 - val_f1__MIN","e75-10-baseline-20250606_221227 - val_f1__MAX","e75-9-baseline-20250606_215321 - val_f1","e75-9-baseline-20250606_215321 - val_f1__MIN","e75-9-baseline-20250606_215321 - val_f1__MAX","e75-8-baseline-20250606_215120 - val_f1","e75-8-baseline-20250606_215120 - val_f1__MIN","e75-8-baseline-20250606_215120 - val_f1__MAX","e75-7-baseline-20250606_214320 - val_f1","e75-7-baseline-20250606_214320 - val_f1__MIN","e75-7-baseline-20250606_214320 - val_f1__MAX","e75-6-baseline-20250606_214145 - val_f1","e75-6-baseline-20250606_214145 - val_f1__MIN","e75-6-baseline-20250606_214145 - val_f1__MAX","e75-5-baseline-20250606_213341 - val_f1","e75-5-baseline-20250606_213341 - val_f1__MIN","e75-5-baseline-20250606_213341 - val_f1__MAX","e75-1-baseline-20250606_210919 - val_f1","e75-1-baseline-20250606_210919 - val_f1__MIN","e75-1-baseline-20250606_210919 - val_f1__MAX","e75-4-baseline-20250606_210919 - val_f1","e75-4-baseline-20250606_210919 - val_f1__MIN","e75-4-baseline-20250606_210919 - val_f1__MAX","e75-3-baseline-20250606_210919 - val_f1","e75-3-baseline-20250606_210919 - val_f1__MIN","e75-3-baseline-20250606_210919 - val_f1__MAX","e75-2-baseline-20250606_210919 - val_f1","e75-2-baseline-20250606_210919 - val_f1__MIN","e75-2-baseline-20250606_210919 - val_f1__MAX"
"0","0","0","0","0.16","0.16","0.16","0","0","0","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.32075471698113206","0.32075471698113206","0.32075471698113206","0","0","0","0.20512820512820512","0.20512820512820512","0.20512820512820512","0","0","0","0.42990654205607476","0.42990654205607476","0.42990654205607476","0.5447154471544715","0.5447154471544715","0.5447154471544715","0","0","0","0","0","0","0.35555555555555557","0.35555555555555557","0.35555555555555557","0.5447154471544715","0.5447154471544715","0.5447154471544715","0","0","0","0.08571428571428572","0.08571428571428572","0.08571428571428572","0","0","0","0.5363636363636364","0.5363636363636364","0.5363636363636364","0","0","0","0.1095890410958904","0.1095890410958904","0.1095890410958904","0.5513513513513514","0.5513513513513514","0.5513513513513514","0","0","0","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.5066666666666667","0.5066666666666667","0.5066666666666667","0","0","0","0.21428571428571427","0.21428571428571427","0.21428571428571427","0","0","0"
"1","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.47706422018348627","0.47706422018348627","0.47706422018348627","0","0","0","0.5502645502645502","0.5502645502645502","0.5502645502645502","0.5076923076923077","0.5076923076923077","0.5076923076923077","0.26506024096385544","0.26506024096385544","0.26506024096385544","0","0","0","0.08571428571428572","0.08571428571428572","0.08571428571428572","0.11267605633802817","0.11267605633802817","0.11267605633802817","0","0","0","0","0","0","0.08450704225352113","0.08450704225352113","0.08450704225352113","0.588957055214724","0.588957055214724","0.588957055214724","0.029411764705882353","0.029411764705882353","0.029411764705882353","0","0","0","0.16","0.16","0.16","0.5691056910569106","0.5691056910569106","0.5691056910569106","0","0","0","0.5469387755102041","0.5469387755102041","0.5469387755102041","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.08571428571428572","0.08571428571428572","0.08571428571428572","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.0547945205479452","0.0547945205479452","0.0547945205479452","0","0","0","0.5221674876847291","0.5221674876847291","0.5221674876847291","0.49122807017543857","0.49122807017543857","0.49122807017543857","0.4808743169398907","0.4808743169398907","0.4808743169398907","0.6580645161290323","0.6580645161290323","0.6580645161290323","0.5365853658536586","0.5365853658536586","0.5365853658536586"
"2","0","0","0","0","0","0","0.49122807017543857","0.49122807017543857","0.49122807017543857","0","0","0","0.13333333333333333","0.13333333333333333","0.13333333333333333","0.6","0.6","0.6","0","0","0","0","0","0","0","0","0","0.52","0.52","0.52","0","0","0","0.3090909090909091","0.3090909090909091","0.3090909090909091","0.25882352941176473","0.25882352941176473","0.25882352941176473","0.4339622641509434","0.4339622641509434","0.4339622641509434","0","0","0","0.3111111111111111","0.3111111111111111","0.3111111111111111","0.5701754385964912","0.5701754385964912","0.5701754385964912","0.5654450261780105","0.5654450261780105","0.5654450261780105","0","0","0","0.4375","0.4375","0.4375","0.5040650406504065","0.5040650406504065","0.5040650406504065","0","0","0","0","0","0","0","0","0","0.5447154471544715","0.5447154471544715","0.5447154471544715","0.5730994152046783","0.5730994152046783","0.5730994152046783","0","0","0","0.12658227848101267","0.12658227848101267","0.12658227848101267","0.5447154471544715","0.5447154471544715","0.5447154471544715","0","0","0"
"3","0","0","0","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.05714285714285714","0.05714285714285714","0.05714285714285714","0","0","0","0","0","0","0.5411764705882353","0.5411764705882353","0.5411764705882353","0.2962962962962963","0.2962962962962963","0.2962962962962963","0","0","0","0","0","0","0.3875968992248062","0.3875968992248062","0.3875968992248062","0.3058823529411765","0.3058823529411765","0.3058823529411765","0","0","0","0","0","0","0.6626506024096386","0.6626506024096386","0.6626506024096386","0.538860103626943","0.538860103626943","0.538860103626943","0","0","0","0.2828282828282828","0.2828282828282828","0.2828282828282828","0","0","0","0.136986301369863","0.136986301369863","0.136986301369863","0.20930232558139536","0.20930232558139536","0.20930232558139536","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.05714285714285714","0.05714285714285714","0.05714285714285714","0.40350877192982454","0.40350877192982454","0.40350877192982454","0","0","0","0.33707865168539325","0.33707865168539325","0.33707865168539325","0","0","0","0.496","0.496","0.496","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.5137614678899083","0.5137614678899083","0.5137614678899083"
"4","0","0","0","0.391304347826087","0.391304347826087","0.391304347826087","0.08571428571428572","0.08571428571428572","0.08571428571428572","0","0","0","0","0","0","0.5076142131979695","0.5076142131979695","0.5076142131979695","0.42","0.42","0.42","0.3404255319148936","0.3404255319148936","0.3404255319148936","0","0","0","0","0","0","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.2077922077922078","0.2077922077922078","0.2077922077922078","0.5230769230769231","0.5230769230769231","0.5230769230769231","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.6040268456375839","0.6040268456375839","0.6040268456375839","0.20512820512820512","0.20512820512820512","0.20512820512820512","0","0","0","0.5147058823529411","0.5147058823529411","0.5147058823529411","0","0","0","0.6206896551724138","0.6206896551724138","0.6206896551724138","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.08571428571428572","0.08571428571428572","0.08571428571428572","0","0","0","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.08450704225352113","0.08450704225352113","0.08450704225352113","0","0","0","0.5932203389830508","0.5932203389830508","0.5932203389830508","0.32558139534883723","0.32558139534883723","0.32558139534883723"
"5","0","0","0","0.3877551020408163","0.3877551020408163","0.3877551020408163","0.32608695652173914","0.32608695652173914","0.32608695652173914","0","0","0","0.5785123966942148","0.5785123966942148","0.5785123966942148","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.5432098765432098","0.5432098765432098","0.5432098765432098","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5384615384615384","0.5384615384615384","0.5384615384615384","0","0","0","0.3853211009174312","0.3853211009174312","0.3853211009174312","0.11267605633802817","0.11267605633802817","0.11267605633802817","0","0","0","0.4144144144144144","0.4144144144144144","0.4144144144144144","0.13333333333333333","0.13333333333333333","0.13333333333333333","0","0","0","0.6170212765957447","0.6170212765957447","0.6170212765957447","0","0","0","0","0","0","0","0","0","0.0821917808219178","0.0821917808219178","0.0821917808219178","0.5933014354066986","0.5933014354066986","0.5933014354066986","0.5862068965517241","0.5862068965517241","0.5862068965517241","0","0","0","0.32323232323232326","0.32323232323232326","0.32323232323232326","0.5565217391304348","0.5565217391304348","0.5565217391304348","0","0","0","0.15789473684210525","0.15789473684210525","0.15789473684210525","0.5864661654135338","0.5864661654135338","0.5864661654135338","0.620253164556962","0.620253164556962","0.620253164556962"
"6","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.6480446927374302","0.6480446927374302","0.6480446927374302","0","0","0","0.4423076923076923","0.4423076923076923","0.4423076923076923","0","0","0","0.45161290322580644","0.45161290322580644","0.45161290322580644","0","0","0","0","0","0","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.5882352941176471","0.5882352941176471","0.5882352941176471","0","0","0","0.6074074074074074","0.6074074074074074","0.6074074074074074","0.6433566433566433","0.6433566433566433","0.6433566433566433","0.6285714285714286","0.6285714285714286","0.6285714285714286","0.12048192771084337","0.12048192771084337","0.12048192771084337","0.08450704225352113","0.08450704225352113","0.08450704225352113","0.5555555555555556","0.5555555555555556","0.5555555555555556","0","0","0","0.25","0.25","0.25","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.42718446601941745","0.42718446601941745","0.42718446601941745","0.5555555555555556","0.5555555555555556","0.5555555555555556","0","0","0","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.6379310344827587","0.6379310344827587","0.6379310344827587","0.6065573770491803","0.6065573770491803","0.6065573770491803"
"7","0.4716981132075472","0.4716981132075472","0.4716981132075472","0","0","0","0.40404040404040403","0.40404040404040403","0.40404040404040403","0","0","0","0.32941176470588235","0.32941176470588235","0.32941176470588235","0.5632183908045977","0.5632183908045977","0.5632183908045977","0.6222222222222222","0.6222222222222222","0.6222222222222222","0.4897959183673469","0.4897959183673469","0.4897959183673469","0","0","0","0","0","0","0.1111111111111111","0.1111111111111111","0.1111111111111111","0.5862068965517241","0.5862068965517241","0.5862068965517241","0.3508771929824561","0.3508771929824561","0.3508771929824561","0.20930232558139536","0.20930232558139536","0.20930232558139536","0.42718446601941745","0.42718446601941745","0.42718446601941745","0.3409090909090909","0.3409090909090909","0.3409090909090909","0.5573770491803278","0.5573770491803278","0.5573770491803278","0.4246575342465753","0.4246575342465753","0.4246575342465753","0","0","0","0","0","0","0","0","0","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.44680851063829785","0.44680851063829785","0.44680851063829785","0","0","0","0.48598130841121495","0.48598130841121495","0.48598130841121495","0.3023255813953488","0.3023255813953488","0.3023255813953488","0","0","0","0.46296296296296297","0.46296296296296297","0.46296296296296297","0.2988505747126437","0.2988505747126437","0.2988505747126437","0.029411764705882353","0.029411764705882353","0.029411764705882353"
"8","0.3870967741935484","0.3870967741935484","0.3870967741935484","0.225","0.225","0.225","0.4230769230769231","0.4230769230769231","0.4230769230769231","0","0","0","0.5906735751295337","0.5906735751295337","0.5906735751295337","0.37777777777777777","0.37777777777777777","0.37777777777777777","0.2962962962962963","0.2962962962962963","0.2962962962962963","0.44680851063829785","0.44680851063829785","0.44680851063829785","0","0","0","0","0","0","0.27906976744186046","0.27906976744186046","0.27906976744186046","0.64","0.64","0.64","0","0","0","0.10810810810810811","0.10810810810810811","0.10810810810810811","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.0821917808219178","0.0821917808219178","0.0821917808219178","0.6218487394957983","0.6218487394957983","0.6218487394957983","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0","0","0","0.0547945205479452","0.0547945205479452","0.0547945205479452","0.6190476190476191","0.6190476190476191","0.6190476190476191","0.5581395348837209","0.5581395348837209","0.5581395348837209","0","0","0","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.34782608695652173","0.34782608695652173","0.34782608695652173","0","0","0","0","0","0","0.5578231292517006","0.5578231292517006","0.5578231292517006","0.056338028169014086","0.056338028169014086","0.056338028169014086"
"9","0.3225806451612903","0.3225806451612903","0.3225806451612903","0.5483870967741935","0.5483870967741935","0.5483870967741935","0.42857142857142855","0.42857142857142855","0.42857142857142855","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.6891891891891891","0.6891891891891891","0.6891891891891891","0.1518987341772152","0.1518987341772152","0.1518987341772152","0","0","0","0.42201834862385323","0.42201834862385323","0.42201834862385323","0.33707865168539325","0.33707865168539325","0.33707865168539325","0","0","0","0","0","0","0.5932203389830508","0.5932203389830508","0.5932203389830508","0.3838383838383838","0.3838383838383838","0.3838383838383838","0.2926829268292683","0.2926829268292683","0.2926829268292683","0.37777777777777777","0.37777777777777777","0.37777777777777777","0.5119047619047619","0.5119047619047619","0.5119047619047619","0","0","0","0","0","0","0.6717557251908397","0.6717557251908397","0.6717557251908397","0.27906976744186046","0.27906976744186046","0.27906976744186046","0","0","0","0.13513513513513514","0.13513513513513514","0.13513513513513514","0.6301369863013698","0.6301369863013698","0.6301369863013698","0.4888888888888889","0.4888888888888889","0.4888888888888889","0","0","0","0.5801526717557252","0.5801526717557252","0.5801526717557252","0.5714285714285714","0.5714285714285714","0.5714285714285714"
