"Step","13-x2ct-20250607_010214 - val_f1","13-x2ct-20250607_010214 - val_f1__MIN","13-x2ct-20250607_010214 - val_f1__MAX","30-x2ct-20250605_051616 - val_f1","30-x2ct-20250605_051616 - val_f1__MIN","30-x2ct-20250605_051616 - val_f1__MAX","29-x2ct-20250605_050310 - val_f1","29-x2ct-20250605_050310 - val_f1__MIN","29-x2ct-20250605_050310 - val_f1__MAX","28-x2ct-20250605_050152 - val_f1","28-x2ct-20250605_050152 - val_f1__MIN","28-x2ct-20250605_050152 - val_f1__MAX","26-x2ct-20250605_050026 - val_f1","26-x2ct-20250605_050026 - val_f1__MIN","26-x2ct-20250605_050026 - val_f1__MAX","27-x2ct-20250605_045920 - val_f1","27-x2ct-20250605_045920 - val_f1__MIN","27-x2ct-20250605_045920 - val_f1__MAX","25-x2ct-20250605_042726 - val_f1","25-x2ct-20250605_042726 - val_f1__MIN","25-x2ct-20250605_042726 - val_f1__MAX","24-x2ct-20250605_042150 - val_f1","24-x2ct-20250605_042150 - val_f1__MIN","24-x2ct-20250605_042150 - val_f1__MAX","23-x2ct-20250605_040620 - val_f1","23-x2ct-20250605_040620 - val_f1__MIN","23-x2ct-20250605_040620 - val_f1__MAX","22-x2ct-20250605_032711 - val_f1","22-x2ct-20250605_032711 - val_f1__MIN","22-x2ct-20250605_032711 - val_f1__MAX","21-x2ct-20250605_031244 - val_f1","21-x2ct-20250605_031244 - val_f1__MIN","21-x2ct-20250605_031244 - val_f1__MAX","20-x2ct-20250605_030844 - val_f1","20-x2ct-20250605_030844 - val_f1__MIN","20-x2ct-20250605_030844 - val_f1__MAX","19-x2ct-20250605_023333 - val_f1","19-x2ct-20250605_023333 - val_f1__MIN","19-x2ct-20250605_023333 - val_f1__MAX","18-x2ct-20250605_022611 - val_f1","18-x2ct-20250605_022611 - val_f1__MIN","18-x2ct-20250605_022611 - val_f1__MAX","16-x2ct-20250605_021715 - val_f1","16-x2ct-20250605_021715 - val_f1__MIN","16-x2ct-20250605_021715 - val_f1__MAX","17-x2ct-20250605_021715 - val_f1","17-x2ct-20250605_021715 - val_f1__MIN","17-x2ct-20250605_021715 - val_f1__MAX","15-x2ct-20250605_014356 - val_f1","15-x2ct-20250605_014356 - val_f1__MIN","15-x2ct-20250605_014356 - val_f1__MAX","14-x2ct-20250605_013513 - val_f1","14-x2ct-20250605_013513 - val_f1__MIN","14-x2ct-20250605_013513 - val_f1__MAX","12-x2ct-20250605_013414 - val_f1","12-x2ct-20250605_013414 - val_f1__MIN","12-x2ct-20250605_013414 - val_f1__MAX","11-x2ct-20250605_002211 - val_f1","11-x2ct-20250605_002211 - val_f1__MIN","11-x2ct-20250605_002211 - val_f1__MAX","10-x2ct-20250605_001405 - val_f1","10-x2ct-20250605_001405 - val_f1__MIN","10-x2ct-20250605_001405 - val_f1__MAX","9-x2ct-20250604_235138 - val_f1","9-x2ct-20250604_235138 - val_f1__MIN","9-x2ct-20250604_235138 - val_f1__MAX","8-x2ct-20250604_233322 - val_f1","8-x2ct-20250604_233322 - val_f1__MIN","8-x2ct-20250604_233322 - val_f1__MAX","7-x2ct-20250604_230121 - val_f1","7-x2ct-20250604_230121 - val_f1__MIN","7-x2ct-20250604_230121 - val_f1__MAX","6-x2ct-20250604_223606 - val_f1","6-x2ct-20250604_223606 - val_f1__MIN","6-x2ct-20250604_223606 - val_f1__MAX","5-x2ct-20250604_222605 - val_f1","5-x2ct-20250604_222605 - val_f1__MIN","5-x2ct-20250604_222605 - val_f1__MAX","3-x2ct-20250604_215732 - val_f1","3-x2ct-20250604_215732 - val_f1__MIN","3-x2ct-20250604_215732 - val_f1__MAX","4-x2ct-20250604_215658 - val_f1","4-x2ct-20250604_215658 - val_f1__MIN","4-x2ct-20250604_215658 - val_f1__MAX","2-x2ct-20250604_215106 - val_f1","2-x2ct-20250604_215106 - val_f1__MIN","2-x2ct-20250604_215106 - val_f1__MAX","1-x2ct-20250604_214206 - val_f1","1-x2ct-20250604_214206 - val_f1__MIN","1-x2ct-20250604_214206 - val_f1__MAX"
"0","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.26262626262626265","0.26262626262626265","0.26262626262626265","0.45454545454545453","0.45454545454545453","0.45454545454545453","0","0","0","0","0","0","0.5221238938053098","0.5221238938053098","0.5221238938053098","0","0","0","0.05714285714285714","0.05714285714285714","0.05714285714285714","0.47058823529411764","0.47058823529411764","0.47058823529411764","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.36036036036036034","0.36036036036036034","0.36036036036036034","0.4722222222222222","0.4722222222222222","0.4722222222222222","0.5333333333333333","0.5333333333333333","0.5333333333333333","0","0","0","0","0","0","0.5221674876847291","0.5221674876847291","0.5221674876847291","0.5355648535564853","0.5355648535564853","0.5355648535564853","0.028169014084507043","0.028169014084507043","0.028169014084507043","0","0","0","0.3157894736842105","0.3157894736842105","0.3157894736842105","0","0","0","0.3956043956043956","0.3956043956043956","0.3956043956043956","0","0","0","0.11267605633802817","0.11267605633802817","0.11267605633802817","0.36065573770491804","0.36065573770491804","0.36065573770491804","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.5447154471544715","0.5447154471544715","0.5447154471544715","0","0","0"
"1","0.14814814814814814","0.14814814814814814","0.14814814814814814","0","0","0","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.10810810810810811","0.10810810810810811","0.10810810810810811","0","0","0","0.23376623376623376","0.23376623376623376","0.23376623376623376","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.54","0.54","0.54","0","0","0","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.16216216216216217","0.16216216216216217","0.16216216216216217","0.5785123966942148","0.5785123966942148","0.5785123966942148","0.45045045045045046","0.45045045045045046","0.45045045045045046","0.5824175824175825","0.5824175824175825","0.5824175824175825","0.5355648535564853","0.5355648535564853","0.5355648535564853","0.5507246376811594","0.5507246376811594","0.5507246376811594","0.48226950354609927","0.48226950354609927","0.48226950354609927","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.36923076923076925","0.36923076923076925","0.36923076923076925","0.5573770491803278","0.5573770491803278","0.5573770491803278","0.5493562231759657","0.5493562231759657","0.5493562231759657","0","0","0","0.5387755102040817","0.5387755102040817","0.5387755102040817","0.5589519650655022","0.5589519650655022","0.5589519650655022","0.5486725663716814","0.5486725663716814","0.5486725663716814","0.5469387755102041","0.5469387755102041","0.5469387755102041"
"2","0","0","0","0.08571428571428572","0.08571428571428572","0.08571428571428572","0","0","0","0.057971014492753624","0.057971014492753624","0.057971014492753624","0","0","0","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1095890410958904","0.1095890410958904","0.1095890410958904","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.46601941747572817","0.46601941747572817","0.46601941747572817","0.509090909090909","0.509090909090909","0.509090909090909","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.3584905660377358","0.3584905660377358","0.3584905660377358","0.64","0.64","0.64","0.5233644859813084","0.5233644859813084","0.5233644859813084","0.2962962962962963","0.2962962962962963","0.2962962962962963","0","0","0","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.4742268041237113","0.4742268041237113","0.4742268041237113","0.6829268292682927","0.6829268292682927","0.6829268292682927","0.23376623376623376","0.23376623376623376","0.23376623376623376","0.05714285714285714","0.05714285714285714","0.05714285714285714","0.3315508021390374","0.3315508021390374","0.3315508021390374","0.6745562130177515","0.6745562130177515","0.6745562130177515","0","0","0","0.18421052631578946","0.18421052631578946","0.18421052631578946","0.6875","0.6875","0.6875","0.5567010309278351","0.5567010309278351","0.5567010309278351","0","0","0"
"3","0","0","0","0.7022900763358778","0.7022900763358778","0.7022900763358778","0","0","0","0.45454545454545453","0.45454545454545453","0.45454545454545453","0","0","0","0","0","0","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.4375","0.4375","0.4375","0.6146341463414634","0.6146341463414634","0.6146341463414634","0.7169811320754716","0.7169811320754716","0.7169811320754716","0","0","0","0","0","0","0.6370370370370371","0.6370370370370371","0.6370370370370371","0.21333333333333335","0.21333333333333335","0.21333333333333335","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.5137614678899083","0.5137614678899083","0.5137614678899083","0.05714285714285714","0.05714285714285714","0.05714285714285714","0","0","0","0.6486486486486487","0.6486486486486487","0.6486486486486487","0.6218487394957983","0.6218487394957983","0.6218487394957983","0","0","0","0","0","0","0.6349206349206349","0.6349206349206349","0.6349206349206349","0.11267605633802817","0.11267605633802817","0.11267605633802817","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.4329896907216495","0.4329896907216495","0.4329896907216495","0.25","0.25","0.25","0.7424242424242424","0.7424242424242424","0.7424242424242424","0.275","0.275","0.275","0.46551724137931033","0.46551724137931033","0.46551724137931033"
"4","0","0","0","0.6115702479338843","0.6115702479338843","0.6115702479338843","0","0","0","0.425531914893617","0.425531914893617","0.425531914893617","0","0","0","0.6455026455026455","0.6455026455026455","0.6455026455026455","0.4318181818181818","0.4318181818181818","0.4318181818181818","0.5306122448979592","0.5306122448979592","0.5306122448979592","0.71875","0.71875","0.71875","0.4423076923076923","0.4423076923076923","0.4423076923076923","0.36585365853658536","0.36585365853658536","0.36585365853658536","0","0","0","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.5893719806763285","0.5893719806763285","0.5893719806763285","0.6608695652173913","0.6608695652173913","0.6608695652173913","0.6395348837209303","0.6395348837209303","0.6395348837209303","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.5447154471544715","0.5447154471544715","0.5447154471544715","0.7123287671232876","0.7123287671232876","0.7123287671232876","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.5981308411214953","0.5981308411214953","0.5981308411214953","0.5409836065573771","0.5409836065573771","0.5409836065573771","0.6231155778894473","0.6231155778894473","0.6231155778894473","0.136986301369863","0.136986301369863","0.136986301369863","0.5546218487394958","0.5546218487394958","0.5546218487394958","0.591304347826087","0.591304347826087","0.591304347826087","0.6781609195402298","0.6781609195402298","0.6781609195402298","0.6545454545454545","0.6545454545454545","0.6545454545454545","0.5469387755102041","0.5469387755102041","0.5469387755102041"
"5","0","0","0","0.38636363636363635","0.38636363636363635","0.38636363636363635","0","0","0","0.7205882352941176","0.7205882352941176","0.7205882352941176","0","0","0","0.6764705882352942","0.6764705882352942","0.6764705882352942","0.6071428571428571","0.6071428571428571","0.6071428571428571","0.5","0.5","0.5","0.7384615384615385","0.7384615384615385","0.7384615384615385","0.6272189349112426","0.6272189349112426","0.6272189349112426","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.43609022556390975","0.43609022556390975","0.43609022556390975","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5979381443298969","0.5979381443298969","0.5979381443298969","0.45528455284552843","0.45528455284552843","0.45528455284552843","0.48484848484848486","0.48484848484848486","0.48484848484848486","0.17721518987341772","0.17721518987341772","0.17721518987341772","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.6711409395973155","0.6711409395973155","0.6711409395973155","0.029411764705882353","0.029411764705882353","0.029411764705882353","0.25","0.25","0.25","0.057971014492753624","0.057971014492753624","0.057971014492753624","0.5576923076923077","0.5576923076923077","0.5576923076923077","0.3695652173913043","0.3695652173913043","0.3695652173913043","0.5915492957746479","0.5915492957746479","0.5915492957746479","0.3181818181818182","0.3181818181818182","0.3181818181818182","0.3125","0.3125","0.3125","0.656","0.656","0.656","0","0","0"
"6","0","0","0","0.6906474820143885","0.6906474820143885","0.6906474820143885","0.7006369426751592","0.7006369426751592","0.7006369426751592","0.6055045871559633","0.6055045871559633","0.6055045871559633","0.5789473684210527","0.5789473684210527","0.5789473684210527","0.6962962962962963","0.6962962962962963","0.6962962962962963","0.7101449275362319","0.7101449275362319","0.7101449275362319","0.5789473684210527","0.5789473684210527","0.5789473684210527","0.7074829931972789","0.7074829931972789","0.7074829931972789","0.5360824742268041","0.5360824742268041","0.5360824742268041","0.7236842105263158","0.7236842105263158","0.7236842105263158","0","0","0","0.1388888888888889","0.1388888888888889","0.1388888888888889","0.5252525252525253","0.5252525252525253","0.5252525252525253","0.7611940298507462","0.7611940298507462","0.7611940298507462","0.4318181818181818","0.4318181818181818","0.4318181818181818","0.6811594202898551","0.6811594202898551","0.6811594202898551","0.6976744186046512","0.6976744186046512","0.6976744186046512","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.7555555555555555","0.7555555555555555","0.7555555555555555","0","0","0","0.7132867132867133","0.7132867132867133","0.7132867132867133","0.6046511627906976","0.6046511627906976","0.6046511627906976","0.7074829931972789","0.7074829931972789","0.7074829931972789","0.6557377049180327","0.6557377049180327","0.6557377049180327","0.5","0.5","0.5","0.6583850931677019","0.6583850931677019","0.6583850931677019","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2926829268292683","0.2926829268292683","0.2926829268292683","0.5252525252525253","0.5252525252525253","0.5252525252525253"
"7","0","0","0","0.6548672566371682","0.6548672566371682","0.6548672566371682","0.6181818181818182","0.6181818181818182","0.6181818181818182","0.6949152542372882","0.6949152542372882","0.6949152542372882","0.6285714285714286","0.6285714285714286","0.6285714285714286","0.7205882352941176","0.7205882352941176","0.7205882352941176","0.6923076923076923","0.6923076923076923","0.6923076923076923","0.6875","0.6875","0.6875","0.7153284671532847","0.7153284671532847","0.7153284671532847","0.5263157894736842","0.5263157894736842","0.5263157894736842","0.651685393258427","0.651685393258427","0.651685393258427","0.35555555555555557","0.35555555555555557","0.35555555555555557","0.7205882352941176","0.7205882352941176","0.7205882352941176","0.6821705426356589","0.6821705426356589","0.6821705426356589","0.6493506493506493","0.6493506493506493","0.6493506493506493","0.509090909090909","0.509090909090909","0.509090909090909","0.6721311475409836","0.6721311475409836","0.6721311475409836","0","0","0","0.6557377049180327","0.6557377049180327","0.6557377049180327","0.6379310344827587","0.6379310344827587","0.6379310344827587","0","0","0","0.76","0.76","0.76","0.6808510638297872","0.6808510638297872","0.6808510638297872","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6938775510204082","0.6938775510204082","0.6938775510204082","0.6724137931034483","0.6724137931034483","0.6724137931034483","0.6333333333333333","0.6333333333333333","0.6333333333333333","0.37209302325581395","0.37209302325581395","0.37209302325581395","0.5263157894736842","0.5263157894736842","0.5263157894736842","0.7142857142857143","0.7142857142857143","0.7142857142857143"
"8","0","0","0","0.6333333333333333","0.6333333333333333","0.6333333333333333","0.18666666666666668","0.18666666666666668","0.18666666666666668","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.6461538461538462","0.6461538461538462","0.6461538461538462","0.6833333333333333","0.6833333333333333","0.6833333333333333","0.656","0.656","0.656","0.6019417475728155","0.6019417475728155","0.6019417475728155","0.6495726495726496","0.6495726495726496","0.6495726495726496","0.6379310344827587","0.6379310344827587","0.6379310344827587","0.639344262295082","0.639344262295082","0.639344262295082","0.6078431372549019","0.6078431372549019","0.6078431372549019","0.7111111111111111","0.7111111111111111","0.7111111111111111","0.6","0.6","0.6","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6","0.6","0.6","0.6190476190476191","0.6190476190476191","0.6190476190476191","0.6929133858267716","0.6929133858267716","0.6929133858267716","0.5394736842105263","0.5394736842105263","0.5394736842105263","0.6140350877192983","0.6140350877192983","0.6140350877192983","0.6853146853146853","0.6853146853146853","0.6853146853146853","0.6288659793814433","0.6288659793814433","0.6288659793814433","0.6771653543307087","0.6771653543307087","0.6771653543307087","0.6238532110091743","0.6238532110091743","0.6238532110091743","0.5753424657534246","0.5753424657534246","0.5753424657534246","0.7761194029850746","0.7761194029850746","0.7761194029850746","0.7175572519083969","0.7175572519083969","0.7175572519083969","0.37209302325581395","0.37209302325581395","0.37209302325581395"
"9","0","0","0","0.65625","0.65625","0.65625","0.6875","0.6875","0.6875","0.21333333333333335","0.21333333333333335","0.21333333333333335","0.6206896551724138","0.6206896551724138","0.6206896551724138","0.6742857142857143","0.6742857142857143","0.6742857142857143","0.6797385620915033","0.6797385620915033","0.6797385620915033","0.6865671641791045","0.6865671641791045","0.6865671641791045","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7092198581560284","0.7092198581560284","0.7092198581560284","0.6845637583892618","0.6845637583892618","0.6845637583892618","0.7111111111111111","0.7111111111111111","0.7111111111111111","0.6285714285714286","0.6285714285714286","0.6285714285714286","0.75","0.75","0.75","0.6140350877192983","0.6140350877192983","0.6140350877192983","0.5346534653465347","0.5346534653465347","0.5346534653465347","0.704225352112676","0.704225352112676","0.704225352112676","0.676923076923077","0.676923076923077","0.676923076923077","0.7228915662650602","0.7228915662650602","0.7228915662650602","0","0","0","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.6712328767123288","0.6712328767123288","0.6712328767123288","0.6938775510204082","0.6938775510204082","0.6938775510204082","0.23376623376623376","0.23376623376623376","0.23376623376623376","0.5829596412556054","0.5829596412556054","0.5829596412556054","0.703125","0.703125","0.703125","0.56","0.56","0.56","0.655367231638418","0.655367231638418","0.655367231638418","0.5242718446601942","0.5242718446601942","0.5242718446601942"
