,uid,projection,filename
0,1,Frontal,1_IM-0001-4001.dcm.png
1,1,Lateral,1_IM-0001-3001.dcm.png
2,1,Volume,1_ct_synthetic.h5
3,3,Frontal,3_IM-1384-1001.dcm.png
4,3,Lateral,3_IM-1384-2001.dcm.png
5,3,Volume,3_ct_synthetic.h5
6,4,Frontal,4_IM-2050-1001.dcm.png
7,4,Lateral,4_IM-2050-2001.dcm.png
8,4,Volume,4_ct_synthetic.h5
9,5,Frontal,5_IM-2117-1003002.dcm.png
10,5,Lateral,5_IM-2117-1004003.dcm.png
11,5,Volume,5_ct_synthetic.h5
12,6,Frontal,6_IM-2192-1001.dcm.png
13,6,Lateral,6_IM-2192-2001.dcm.png
14,6,Volume,6_ct_synthetic.h5
15,7,Frontal,7_IM-2263-1001.dcm.png
16,7,Lateral,7_IM-2263-2001.dcm.png
17,7,Volume,7_ct_synthetic.h5
18,8,Frontal,8_IM-2333-1001.dcm.png
19,8,Lateral,8_IM-2333-2001.dcm.png
20,8,Volume,8_ct_synthetic.h5
21,11,Frontal,11_IM-0067-1001.dcm.png
22,11,Lateral,11_IM-0067-2001.dcm.png
23,11,Volume,11_ct_synthetic.h5
24,12,Frontal,12_IM-0133-1001.dcm.png
25,12,Lateral,12_IM-0133-2001.dcm.png
26,12,Volume,12_ct_synthetic.h5
27,16,Frontal,16_IM-0389-1001.dcm.png
28,16,Lateral,16_IM-0389-2001.dcm.png
29,16,Volume,16_ct_synthetic.h5
30,17,Frontal,17_IM-0460-2001.dcm.png
31,17,Lateral,17_IM-0460-1001.dcm.png
32,17,Volume,17_ct_synthetic.h5
33,18,Frontal,18_IM-0520-1001.dcm.png
34,18,Lateral,18_IM-0520-2001.dcm.png
35,18,Volume,18_ct_synthetic.h5
36,20,Frontal,20_IM-0653-1001.dcm.png
37,20,Lateral,20_IM-0653-1002.dcm.png
38,20,Volume,20_ct_synthetic.h5
39,22,Frontal,22_IM-0810-1001.dcm.png
40,22,Lateral,22_IM-0810-2001.dcm.png
41,22,Volume,22_ct_synthetic.h5
42,23,Frontal,23_IM-0879-1001.dcm.png
43,23,Lateral,23_IM-0879-2001.dcm.png
44,23,Volume,23_ct_synthetic.h5
45,24,Frontal,24_IM-0949-1001.dcm.png
46,24,Lateral,24_IM-0949-2001.dcm.png
47,24,Volume,24_ct_synthetic.h5
48,25,Frontal,25_IM-1024-2001.dcm.png
49,25,Lateral,25_IM-1024-3001.dcm.png
50,25,Volume,25_ct_synthetic.h5
51,28,Frontal,28_IM-1231-1001.dcm.png
52,28,Lateral,28_IM-1231-2001.dcm.png
53,28,Volume,28_ct_synthetic.h5
54,29,Frontal,29_IM-1302-1001.dcm.png
55,29,Lateral,29_IM-1302-2001.dcm.png
56,29,Volume,29_ct_synthetic.h5
57,30,Frontal,30_IM-1385-1001.dcm.png
